id,title,source,label
1,নেতাকর্মীদের গোপালগঞ্জে আসার দাবিতে সাদ্দামকে উদ্ধৃত করে ঢাকা ট্রিবিউনের নামে ফটোকার্ড প্রচার,bangla_fakenews,1
2,গত ১৫ আগস্টে যুবলীগের দোয়া মাহফিলের দৃশ্য দাবিতে পুরোনো ছবি প্রচার,bangla_fakenews,1
3,১৫ ই আগস্ট ধানমণ্ডি ৩২ নম্বরে হেনস্থার শিকার হওয়া ব্যক্তি মৃত্যুবরণ করেননি,bangla_fakenews,1
4,এভারকেয়ার হাসপাতালে এমপক্স (মাঙ্কিপক্স) শনাক্তের,bangla_fakenews,1
5,ইশরাক হোসেনের সাবেক স্বরাষ্ট্র উপদেষ্টার পদত্যাগ চাওয়ার বক্তব্যকে ড. ইউনূসের পদত্যাগ চাওয়ার দাবিতে প্রচার,bangla_fakenews,1
6,শেখ হাসিনা ও নরেন্দ্র মোদির আলিঙ্গনের ভিডিওটি ডিপফেক প্রযুক্তির সহায়তায় নির্মিত,bangla_fakenews,1
7,এইচএসসি ২৪ ব্যাচকে নিয়ে মেসি ও রোনালদোকে জড়িয়ে প্রথম আলোর নামে ফটোকার্ড প্রচার,bangla_fakenews,1
8,বঙ্গবীর কাদের সিদ্দিকীকে কুপিয়ে হত্যা এবং ৩১ পুলিশ সদস্যের নিহতের,bangla_fakenews,1
9,নিখোঁজ ইলিয়াস আলীকে সেনাবাহিনী ‘আয়নাঘর’ থেকে উদ্ধার করেছে দাবিতে যমুনা টিভির নামে ফটোকার্ড প্রচার,bangla_fakenews,1
10,বন্যার্তদের সাহায্যের নামে ফেসবুকে প্রচারণা চালাচ্ছে আওয়ামী লীগ,bangla_fakenews,1
11,তিলোত্তমা ও আতিকা গ্রেফতার দাবিতে যমুনা টিভির নামে ফটোকার্ড প্রচার,bangla_fakenews,1
12,"রুমিন ফারহানা পদ্মা সেতু বা ফারাক্কা নিয়ে কোনো পোস্ট করেননি, পেজের পোস্ট ভাইরাল",bangla_fakenews,1
13,বন্যাকে কেন্দ্র করে আওয়ামী লীগের নামে স্ক্রিনশট সম্পাদনা করে অপপ্রচার,bangla_fakenews,1
14,সময় টিভিকে জড়িয়ে শেখ হাসিনাকে ভারত ত্যাগের নির্দেশ দিয়েছে মোদি সরকার দাবিতে তথ্য প্রচার,bangla_fakenews,1
15,কণ্ঠশিল্পী মমতাজ গ্রেফতার দাবিতে যমুনা টিভির নামে ফটোকার্ড প্রচার,bangla_fakenews,1
16,ছবির এই নারী কুমিল্লার সাবেক মেয়র তাহসীন বাহার নন,bangla_fakenews,1
17,সাকিবের বিরুদ্ধে তিন পাকিস্তানি হত্যার অভিযোগ শীর্ষক দাবিতে কোনো সংবাদ দেয়নি এনটিভি,bangla_fakenews,1
18,বিএনপিকে জড়িয়ে ড. মুহাম্মদ ইউনূসের নামে মন্তব্য প্রচার,bangla_fakenews,1
19,সাগরিকা আক্তারের কান ধরে ওঠবস করার ভিডিওকে তামান্না জেসমিন রিভার দাবিতে প্রচার,bangla_fakenews,1
20,গণমাধ্যমের ফটোকার্ডে সাকিব এবং মাশরাফীর মৃত্যুর,bangla_fakenews,1
21,তারেক রহমানকে নিয়ে সারজিস আলমের মন্তব্য দাবিতে প্রচারিত ভিডিওটি সম্পাদিত,bangla_fakenews,1
22,ডেইলি বাংলাদেশের ফটোকার্ড নকল করে ছাত্রলীগ নেত্রী আতিকাকে নিয়ে তথ্য,bangla_fakenews,1
23,যমুনা টিভির শিরোনাম সম্পাদনা করে জামায়াতকে জড়িয়ে দুই উপদেষ্টার নামে মন্তব্য প্রচার,bangla_fakenews,1
24,ফয়জুল লতিফ চৌধুরী বাংলা একাডেমির মহাপরিচালক হিসেবে নিয়োগ পাননি,bangla_fakenews,1
25,সংগীতশিল্পী ইমরান মাহমুদুলের মৃত্যুর,bangla_fakenews,1
26,ব্যারিস্টার সুমনের পুরোনো ভিডিওকে বিকৃতভাবে সাম্প্রতিক সময়ের ভিডিও দাবিতে প্রচার,bangla_fakenews,1
27,শেখ হাসিনা ও নরেন্দ্র মোদিকে জড়িয়ে প্রথম আলোর নামে ফটোকার্ড প্রচার,bangla_fakenews,1
28,সমন্বয়ক হাসনাত আবদুল্লাহকে জড়িয়ে যমুনা টিভির নামে ফটোকার্ড প্রচার,bangla_fakenews,1
29,ব্যারিস্টার সুমন আমেরিকায় গিয়ে নিজের ভুল স্বীকার করেছেন দাবিতে প্রচারিত ভিডিওটি পুরোনো,bangla_fakenews,1
30,বানভাসি মানুষের সহায়তা কার্যক্রম নিয়ে ক্রমাগত ছড়াচ্ছে আওয়ামী লীগের ফেসবুক পেজ,bangla_fakenews,1
31,শেখ হাসিনা দেশে ফেরার ঘোষণা দিয়েছেন দাবিতে পুরোনো ভিডিও প্রচার,bangla_fakenews,1
32,খালেদা জিয়ার মুক্তির দৃশ্য দাবিতে পুরোনো ভিডিও প্রচার,bangla_fakenews,1
